,index,smiles,length,inchikey,name,groups,withdrawn_class,source
436,436,CN[C@@]1([H])C[C@]([H])([C@@]([H])([C@]([H])([C@]1([H])O)O[C@@]2([H])[C@]3([H])[C@]([H])([C@]([H])([C@@]([H])(CO)O2)O)OC4([C@@]([H])([C@]([H])([C@]([H])([C@@]([H])([C@]([H])(CO)N)O4)O)O)O)O3)O)N,130,GRRNUXAQVGOGFE-HUCHGKBZSA-N,hygromycin b,Possibly Marketed Outside US,0,['NCATS']
437,437,C[C@@]1([H])c2cccc(c2C(=O)C3=C([C@]4([C@]([H])([C@@]([H])(C(=C(C4=O)C(=N)O)O)N(C)C)[C@]([H])([C@]13[H])O)O)O)O.COc1cc(ccc1O)S(=O)(=O)O,130,FDMODUJZMAVDCJ-CVHRZJFOSA-N,doxycycline 4-guaiacolsulfonate,US Approved Rx,0,['NCATS']
438,438,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.O.O.O.O.O.[Cl-],129,WMIZITXEJNQAQK-GGDSLZADSA-N,tubocurarine chloride,withdrawn,1,['ChEMBL']
439,439,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,129,OLGIEIJNOQGBSS-VQYXCCSOSA-N,methapyrilene fumarate,withdrawn,1,['ChEMBL']
440,440,COc1ccc2c3CCN4C[C@@]5([H])C[C@]([H])([C@@]([H])([C@]([H])([C@@]5([H])C[C@]4([H])c3[nH]c2c1)C(=O)OC)OC)OC(=O)c6cc(c(c(c6)OC)OC)OC.OP(=O)(O)O,129,DDFUAKBZKZESMV-BQTSRIDJSA-N,reserpine phosphate,US Previously Marketed,1,['NCATS']
441,441,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cc1ccc(S(=O)(=O)O)cc1,129,SETFNHZTVGTBHC-XGLFQKEBSA-N,omadacycline tosylate,approved,0,['ChEMBL']
442,442,Cc1ccn(-c2cc(ccc2[C@]([H])(C(F)(F)F)Oc3cc(-c4ccc(cc4)C[C@@]([H])(C(=O)O)N)[nH]c(=N)n3)Cl)n1.c1ccc(cc1)S(=O)(=O)O,129,NCLGDOBQAWBXRA-PGRDOPGGSA-N,telotristat besilate,US Approved Rx,0,['NCATS']
443,443,[Fe+3].[Fe+3].[Fe+3].[Fe+3].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[OH-].[OH-],129,GDPKWKCLDUOTMP-UHFFFAOYSA-B,ferric subsulfate,US Approved OTC,0,['NCATS']
444,444,C=C[C@@]1([H])CN2CC[C@@]1([H])C[C@@]2([H])[C@@]([H])(c3ccnc4ccc(cc34)OC)O.C([C@@]([H])([C@]1([H])C(=C(C(=O)O1)O)O)O)O.C([C@@]([H])([C@]1([H])C(=C(C(=O)O1)O)O)O)O,128,CJHQUYQRCLIWSW-JPGAVJPLSA-N,quinine ascorbate,US Previously Marketed,1,['NCATS']
446,446,CC[C@]1([H])C[C@@]1(C(=NS(=O)(=O)C2CC2)O)N=C([C@]3([H])C[C@]4([H])CN3C(=O)[C@]([H])(C(C)(C)C)N=C(O)OCC(C)(C)CCCCc5cccc6CN(Cc56)C(=O)O4)O,128,KUQWGLQLLVFLSM-ONAXAZCASA-N,vaniprevir,Possibly Marketed Outside US,0,['NCATS']
449,449,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1.COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1.O.O.O=C(O)/C=C/C(=O)O,127,RATSWNOMCHFQGJ-XODSYJLDSA-N,formoterol fumarate,approved,0,['ChEMBL']
450,450,CC1(C)[C@]([H])(C(=O)OC2([H])c3ccccc3C(=O)O2)N4C(=O)[C@]([H])([C@@]4([H])S1)N=C([C@@]([H])(c5ccccc5)N)O.c1ccc2cc(ccc2c1)S(=O)(=O)O,127,KVBGVZZKJNLNJU-UHFFFAOYSA-N,talampicillin napsilate,Possibly Marketed Outside US,0,['NCATS']
451,451,C[C@@]1([H])C[C@@]2([H])[C@]3([H])CC[C@](C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])([C@@]3(C)C[C@@]([H])([C@]2([H])[C@@]4(C)C=CC(=O)C=C14)O)O.[Na+],127,CDMLLMOLWUKNEK-AOHDELFNSA-M,methylprednisolone suleptanate,US Approved Rx,0,['NCATS']
452,452,CC1CN(CCN1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F.CC1CN(CCN1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F.O,127,ISCAXBHESPTGIQ-UHFFFAOYSA-N,gatifloxacin hemihydrate,US Approved Rx,0,['NCATS']
453,453,c1ccc2c(c1)cc(c(c2Cc3c4ccccc4cc(c3O)C(=O)O)O)C(=O)O.C(COc1ccc(cc1Br)C(=N)N)COc2ccc(cc2Br)C(=N)N,127,GMJFVGRUYJHMCO-UHFFFAOYSA-N,dibrompropamidine embonate,Possibly Marketed Outside US,0,['NCATS']
454,454,CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,126,CYETUYYEVKNSHZ-LGOOQLFJSA-N,alatrofloxacin mesylate,withdrawn,1,['ChEMBL']
455,455,CC(=O)OC[C@]1([H])[C@]([H])([C@@]([H])([C@]([H])([C@]([H])(O1)O[C@@]2(COC(=O)C)[C@]([H])([C@@]([H])([C@@]([H])(COC(=O)C)O2)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,126,ZIJKGAXBCRWEOL-SAXBRCJISA-N,sucrose octaacetate,US Previously Marketed,1,['NCATS']
461,461,CCC([H])(C)n1c(=O)n(cn1)-c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OC[C@@]5([H])CO[C@](Cn6cncn6)(c7ccc(cc7Cl)Cl)O5.Cl.Cl.Cl,126,IKQCHGBROJMCCD-MEBRADKNSA-N,itraconazole trihydrochloride,US Approved Rx,0,['NCATS']
462,462,CC(=CCC/C(=C/1\[C@]2([H])C[C@]([H])([C@@]3([H])[C@@]4(C)CC[C@]([H])([C@@]([H])(C)[C@]4([H])CC[C@]3(C)[C@@]2(C)C[C@]1([H])OC(=O)C)O)O)/C(=O)O)C.O.O.O.O.O,126,IECPWNUMDGFDKC-WGFOVTNPSA-N,fusidic acid pentahydrate,Possibly Marketed Outside US,0,['NCATS']
463,463,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C.[Na+],125,WWPRGAYLRGSOSU-RNROJPEYSA-M,novobiocin sodium,withdrawn,1,['ChEMBL']
464,464,CCOC(=O)Oc1c(cc(cc1OC)C(=O)O[C@]2([H])C[C@]3([H])CN4CCc5c6ccc(cc6[nH]c5[C@@]4([H])C[C@]3([H])[C@@]([H])([C@@]2([H])OC)C(=O)OC)OC)OC,125,ZCDNRPPFBQDQHR-SSYATKPKSA-N,syrosingopine,US Previously Marketed,1,['NCATS']
468,468,Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c3nsc(N)n3)[C@H]2SC1.O=S(=O)(O)O,125,UJDQGRLTPBVSFN-TVNHLQOTSA-N,ceftolozane sulfate,approved,0,['ChEMBL']
469,469,C[C@@]1([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(O1)O[C@@]2([H])CC[C@@]3(C=O)[C@]([H])(CC[C@]4([H])[C@]3([H])CC[C@]5(C)[C@]([H])(CC[C@]45O)C6=CC(=O)OC6)C2)O)OC)O,125,PMTSPAGBAFCORP-HBUONDEYSA-N,peruvoside,Possibly Marketed Outside US,0,['NCATS']
470,470,CN(C)CCOC(c1ccccc1)c2ccccc2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2.Cn1c2c(c(=O)n(C)c1=O)n(CC(=O)O)cn2,125,COTYIKUDNNMSDT-UHFFFAOYSA-N,bietanautine,US Approved OTC,0,['NCATS']
471,471,C[C@@]1([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(O1)O[C@@]2([H])CC[C@@]3(C)C(=C2)CC[C@]4([H])[C@]3([H])CC[C@]5(C)[C@]([H])(CC[C@]45O)c6ccc(=O)oc6)O)O)O,125,MYEJFUXQJGHEQK-ALRJYLEOSA-N,proscillaridin,Possibly Marketed Outside US,0,['NCATS']
472,472,C[C@@]1([H])[C@]([H])([C@]([H])(C[C@@]([H])(O1)O[C@@]2([H])C[C@@](Cc3c2c(c4c(C(=O)c5cccc(c5C4=O)OC)c3O)O)(C(=O)CO)O)N)O[C@]6([H])CCCCO6.Cl,125,UTZKHRPBILWNJL-YXRRJAAWSA-N,pirarubicin hydrochloride,Possibly Marketed Outside US,0,['NCATS']
473,473,C[C@]1(c2cccc(c2C(=O)C3=C([C@]4([C@@]([H])(C[C@@]31[H])[C@@]([H])(C(=C(C4=O)C(=N)O)O)N(C)C)O)O)O)O.COc1cc(ccc1O)S(=O)(=O)O,125,FNKGGRNGAXFRPG-FMZCEJRJSA-N,tetracycline 4-guaiacolsulfonate,US Approved OTC,0,['NCATS']
474,474,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,124,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,docetaxel,withdrawn,1,['WITHDRAWN']
478,478,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O,124,NUBQKPWHXMGDLP-BDEHJDMKSA-N,indinavir sulfate,approved,0,['ChEMBL']
479,479,CC(=O)O.CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1.O,124,KRWPPVCZNGQQHZ-IINIBMQSSA-N,ceftaroline fosamil acetate,approved,0,['ChEMBL']
480,480,c1ccc(cc1)C(CCN2CCC(CC2)(C(=N)O)N3CCCCC3)(C#N)c4ccccc4.[C@@]([H])([C@]([H])(C(=O)O)O)(C(=O)O)O.[C@@]([H])([C@]([H])(C(=O)O)O)(C(=O)O)O,124,FEWJPZIEWOKRBE-JCYAYHJZSA-N,piritramide ditartrate,Possibly Marketed Outside US,0,['NCATS']
481,481,C/C(=C(/CCOC(=O)c1ccccc1)\SS/C(=C(\C)/N(Cc2cnc(C)[nH]c2=N)C=O)/CCOC(=O)c3ccccc3)/N(Cc4cnc(C)[nH]c4=N)C=O,124,IWXAZSAGYJHXPX-UHFFFAOYSA-N,bisbentiamine,Possibly Marketed Outside US,0,['NCATS']
482,482,C(C(C(=O)[O-])[S-])C(=O)[O-].C(C(C(=O)[O-])[S-])C(=O)[O-].C(C(C(=O)[O-])[S-])C(=O)[O-].[Li+].[Li+].[Li+].[Li+].[Li+].[Li+].[Sb+3],123,FAWGZAFXDJGWBB-UHFFFAOYSA-N,anthiolimine,US Previously Marketed,1,['NCATS']
483,483,COc1ccc2c3CCN4C[C@@]5([H])C[C@]([H])([C@@]([H])([C@]([H])([C@@]5([H])C[C@]4([H])c3[nH]c2c1)C(=O)OC)OC)OC(=O)c6cc(c(c(c6)OC)OC)OC.Cl.O,123,QEVHRUUCFGRFIF-MDEJGZGSSA-N,reserpine hydrochloride monohydrate,US Previously Marketed,1,['NCATS']
484,484,CC[C@@](C)(C(=O)O[C@]1([H])[C@@]2([H])[C@@]([H])(C)[C@]([H])([C@]3([C@]4([H])[C@]5(C)[C@@]([H])(C[C@]([H])([C@@]24CO3)OC1=O)C(=C[C@@]([H])([C@@]5([H])O)O)C)O)O)O,123,LZKVXMYVBSNXER-FCXYFJGXSA-N,glaucarubin,US Previously Marketed,1,['NCATS']
485,485,C1[C@]([H])([C@@]([H])([C@]([H])([C@@]([H])([C@@]1([H])N)O[C@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CN)O2)O)O)O)O)O[C@]3([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O3)O)N)O)N,123,SBUJHOSQTJFQJX-NOAMYHISSA-N,kanamycin a,US Previously Marketed,1,['NCATS']
489,489,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O,123,WMHSRBZIJNQHKT-FFKFEZPRSA-N,abacavir sulfate,approved,0,['ChEMBL']
490,490,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,123,ASDOKGIIKXGMNB-UHFFFAOYSA-N,hydroxyzine pamoate,approved,0,"['ChEMBL', 'NCATS']"
491,491,[Fe+3].[Fe+3].[Fe+3].[Fe+3].O=P([O-])([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])[O-],123,CADNYOZXMIKYPR-UHFFFAOYSA-B,ferric pyrophosphate,US Approved OTC,0,['NCATS']
492,492,C1[C@@]([H])([C@]([H])([C@@]([H])([C@]([H])([C@]1([H])N)O[C@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O2)O)N)O)O)O[C@]3([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CN)O3)O)O)N)N,123,SKKLOUVUUNMCJE-FQSMHNGLSA-N,bekanamycin,Possibly Marketed Outside US,0,['NCATS']
493,493,CC([H])(CN=C(c1ccccc1)O)C(=O)OCC(=O)[C@@]23[C@@]([H])(C[C@@]4([H])[C@]5([H])CCC6=CC(=O)C=C[C@]6(C)[C@]5([C@]([H])(C[C@@]42C)O)F)OC(C)(C)O3,123,GUYPYYARYIIWJZ-CYEPYHPTSA-N,triamcinolone benetonide,US Approved Rx,0,['NCATS']
496,496,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CC1)CCOC(=O)Cc2c(C)n(c3ccc(cc23)OC)C(=O)c4ccc(cc4)Cl)N=C(c5ccccc5)O,122,PTXGHCGBYMQQIG-UHFFFAOYSA-N,proglumetacin,Possibly Marketed Outside US,0,['NCATS']
497,497,CN(Cc1ccccc1)C(=O)[C@]([H])(c2ccccc2)N=C(c3cc4cc(ccc4n3C)NC(=O)c5ccccc5-c6ccc(cc6)C(F)(F)F)O,122,TUOSYWCFRFNJBS-BHVANESWSA-N,dirlotapide,Possibly Marketed Outside US,0,['NCATS']
498,498,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1.[Br-],121,LVQTUXZKLGXYIU-GWSNJHLMSA-M,rapacuronium bromide,withdrawn,1,['ChEMBL']
499,499,Cc1c(c(=O)n(-c2ccccc2)n1C)N(C)C.Cc1c(c(=O)n(-c2ccccc2)n1C)N(C)C.CC1(C)[C@]([H])(CC[C@@]1(C)C(=O)O)C(=O)O,121,LSPHULWDVZXLIL-LDWIPMOCSA-N,aminophenazone hemicamphorate,US Previously Marketed,1,['NCATS']
505,505,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],121,VEPSYABRBFXYIB-PWXDFCLTSA-M,vecuronium bromide,approved,0,['ChEMBL']
506,506,CC1(C)O[C@]2([H])C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@]4([C@]([H])(C[C@]3(C)[C@]2(C(=O)COC(=O)c6cc7ccccc7o6)O1)O)F,121,OSWKQSQWSQSPQH-GNFRAIDCSA-N,triamcinolone furetonide,US Approved Rx,0,['NCATS']
507,507,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)O)O,120,OBATZBGFDSVCJD-LALPQLPRSA-N,deslanoside,withdrawn,1,"['WITHDRAWN', 'ChEMBL', 'NCATS']"
509,509,[C@]1([H])([C@@]([H])([C@]([H])([C@@]([H])([C@]([H])([C@@]1([H])ON(=O)=O)ON(=O)=O)ON(=O)=O)ON(=O)=O)ON(=O)=O)ON(=O)=O,120,VAASRZPDHFMMMC-GPIVLXJGSA-N,inositol hexanitrate,US Previously Marketed,1,['NCATS']
515,515,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,120,ZIMCQJVMPKQQPB-UHFFFAOYSA-N,olanzapine pamoate,approved,0,['ChEMBL']
516,516,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1.Cc1ccc(S(=O)(=O)O)cc1,120,ZLFZITWZOYXXAW-QXXZOGQOSA-N,edoxaban tosylate,approved,0,['ChEMBL']
517,517,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)([O-])[O-])C(=O)C(C)(C)O4)n2)cc(OC)c1OC.O.O.O.O.O.O.[Na+].[Na+],120,ZQGJCHHKJNSPMS-UHFFFAOYSA-L,fostamatinib disodium,approved,0,['ChEMBL']
518,518,C=Cc1c(C)c2c([H])c3C(=C(CCC(=O)[O-])c(c([H])c4C(=C(C)c(c([H])c5c(C=C)c(C)c(c([H])c1[n-]2)[nH]5)n4)CCC(=O)[O-])n3)C.Cl.[Fe+3],120,BTIJJDXEELBZFS-UHFFFAOYSA-K,hemin,US Approved Rx,0,['NCATS']
519,519,c1cc(ccc1Cl)SC(P(=O)(O)O)P(=O)(O)O.c1cc(ccc1Cl)SC(P(=O)([O-])[O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].O,119,DKJJVAGXPKPDRL-UHFFFAOYSA-N,tiludronate disodium hemihydrate,US Previously Marketed,1,['NCATS']
520,520,CN1CCc2cc(c3cc2[C@]1([H])Cc4ccc(cc4)Oc5c6c(CC[N+](C)(C)[C@]6([H])Cc7ccc(c(c7)O3)O)cc(c5[O-])OC)OC.Cl.Cl,119,GXFZCDMWGMFGFL-KKXMJGKMSA-N,tubocurarine chloride anhydrous,US Previously Marketed,1,['NCATS']
521,521,CC(C)[C@@]1([H])C(=O)N2CCC[C@@]2([H])[C@]3(N1C(=O)[C@](C(C)C)(N=C([C@]4([H])C[C@]5([H])c6cccc7c6c(C[C@@]5([H])N(C)C4)c[nH]7)O)O3)O,119,SEALOBQTUQIVGU-QNIJNHAOSA-N,dihydroergocornine,US Previously Marketed,1,['NCATS']
525,525,O=C(O)/C=C/C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,119,ZTHJULTYCAQOIJ-WXXKFALUSA-N,quetiapine fumarate,approved,0,['ChEMBL']
526,526,CCCCCCCCCCCCCC(=N[C@@]([H])(CCCCN)C(=N[C@@]([H])([C@@]([H])(C)O)C(=N[C@@]([H])([C@@]([H])(C)O)C(=N[C@@]([H])(CCCCN)C(=N[C@@]([H])(CO)C(=O)O)O)O)O)O)O,119,XLELDISCQSKJES-IPPMYLEBSA-N,myristoyl pentapeptide-4,Possibly Marketed Outside US,0,['NCATS']
527,527,C=Cc1c(C)c2c([H])c3C(=C(CCC(=O)[O-])c(c([H])c4C(=C(C)c(c([H])c5c(C=C)c(C)c(c([H])c1[n-]2)[nH]5)n4)CCC(=O)[O-])n3)C.[Fe+3].O,119,BMUDPLZKKRQECS-UHFFFAOYSA-K,hematin,US Approved Rx,0,['NCATS']
528,528,CN1[C@@]2([H])CC[C@]1([H])C[C@@]([H])(C2)OC(=O)C([H])(CO)c3ccccc3.CN1[C@@]2([H])CC[C@]1([H])C[C@@]([H])(C2)OC(=O)C([H])(CO)c3ccccc3.OS(=O)(=O)O,119,HOBWAPHTEJGALG-AADVZIIPSA-N,atropine sulfate anhydrous,US Approved Rx,0,['NCATS']
529,529,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc([131I])c(=O)c(I)c-2oc2c(I)c([O-])c([131I])cc12.[Na+].[Na+],118,UWBXIFCTIZXXLS-PTZVIXQTSA-L,rose bengal sodium i 131,withdrawn,1,['ChEMBL']
533,533,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.CC(=O)O,118,WSMXIQXWHPSVDE-ZPJPNJFZSA-N,lefamulin acetate,approved,0,['ChEMBL']
534,534,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1.O=S(=O)(O)O,118,NQRYCIGCIAWEIC-CKLVGUEFSA-N,vorapaxar sulfate,approved,0,['ChEMBL']
535,535,CS(=O)(=O)O.O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,118,QKVKOFVWUHNEBX-UHFFFAOYSA-N,lomitapide mesylate,approved,0,['ChEMBL']
536,536,C[C@@]1([H])C[C@@]2([H])[C@]3([H])CC[C@](C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)O)([C@@]3(C)C[C@@]([H])([C@]2([H])[C@@]4(C)C=CC(=O)C=C14)O)O,118,PSCNNGGPKIBAHB-WFVOKNHCSA-N,methylprednisolone 21-suleptanic acid ester,US Approved Rx,0,['NCATS']
537,537,C1[C@@]([H])([C@]([H])([C@@]([H])([C@]([H])([C@]1([H])N)O[C@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(CO)O2)O)N)O)O)O[C@]3([H])[C@@]([H])(C[C@@]([H])([C@@]([H])(CN)O3)O)N)N.Cl,118,CVDADWBWFLWJNQ-TWDWGCDDSA-N,tobramycin hydrochloride,US Approved Rx,0,['NCATS']
538,538,c1ccc2c(c1)cc(c(c2Cc3c4ccccc4cc(c3O)C(=O)O)O)C(=O)O.Cc1cc2C(=Nc3ccccc3Nc2s1)N4CCN(C)CC4,118,IUDQMMSLVSVGDZ-UHFFFAOYSA-N,olanzapine pamoate anhydrous,US Approved Rx,0,['NCATS']
539,539,CC(=CCC[C@@]([H])(C)[C@@]1([H])CC[C@@]2(C)[C@]3([H])CC[C@@]4([H])C(C)(C)[C@]([H])(CC[C@]54C[C@@]35CC[C@]12C)OC(=O)/C(/[H])=C(\[H])/c6ccc(c(c6)OC)O)C,118,FODTZLFLDFKIQH-MLFZJPEPSA-N,oryzanol a,Possibly Marketed Outside US,0,['NCATS']
540,540,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1.[Na+],117,RIWWMGQFMUUYIY-ALLHVENQSA-M,cefpiramide sodium,withdrawn,1,['ChEMBL']
541,541,CC1(C)[C@]2([H])CC[C@]3(C)[C@]([H])(C(=O)C=C4[C@]5([H])C[C@](C)(CC[C@]5(C)CC[C@]43C)C(=O)[O-])[C@@]2(C)CC[C@]1([H])[O-].[K+].[K+],117,MMHMRCXFKNYLKG-YKLVYJNSSA-M,enoxolone dipotassium,US Previously Marketed,1,['NCATS']
543,543,Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)(O)O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl.[Cl-],117,LBTQUZNIWCWBNN-UHFFFAOYSA-N,fosnetupitant chloride hydrochloride,approved,0,['ChEMBL']
544,544,C[C@]1([H])CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@]4([H])[C@@]5(C)CC[C@]([H])([C@@](C)([C@]5([H])CC[C@]43C)C(=O)O)OC(=O)C)[C@]2([H])[C@@]1([H])C,117,HMMGKOVEOFBCAU-BCDBGHSCSA-N,3-acetyl-11-keto-.beta.-boswellic acid,Possibly Marketed Outside US,0,['NCATS']
545,545,CCCCC(CC)COC(=O)c1ccc(cc1)Nc2nc(Nc3ccc(cc3)C(=O)OCC(CC)CCCC)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2,117,JGUMTYWKIBJSTN-UHFFFAOYSA-N,ethylhexyl triazone,Possibly Marketed Outside US,0,['NCATS']
546,546,c1ccc2c(c1)cc(c(c2Cc3c4ccccc4cc(c3O)C(=O)O)O)C(=O)O.CCN(CC)CCCC(C)Nc1cc(cc2cccnc21)OC,116,IPPMKVWUPMOGFL-UHFFFAOYSA-N,pamaquine naphthoate,US Previously Marketed,1,['NCATS']
551,551,C[C@]1([H])CC[C@@]2(CC[C@]3(C)C(=CC[C@]4([H])[C@@]5(C)C[C@]([H])([C@@]([H])([C@@](C)(CO)[C@]5([H])CC[C@]43C)O)O)[C@]2([H])[C@@]1([H])C)C(=O)O,116,JXSVIVRDWWRQRT-UYDOISQJSA-N,asiatic acid,Possibly Marketed Outside US,0,['NCATS']
552,552,C[C@@]1(CO[C@@]([H])([C@@]([H])([C@@]1([H])NC)O)O[C@@]2([H])[C@@]([H])(C[C@@]([H])([C@]([H])([C@]2([H])O)O[C@]3([H])[C@@]([H])(CC[C@@]([H])(CN)O3)N)N)N)O.OS(=O)(=O)O,116,HNCAOLPMSASREN-UCMBPTNBSA-N,gentamicin c1a sulfate,Possibly Marketed Outside US,0,['NCATS']
553,553,c1ccc2c(c1)cc(c(c2Cc3c4ccccc4cc(c3O)C(=O)O)O)C(=O)O.CCc1c(-c2ccc(cc2)Cl)c(N)[nH]c(=N)n1,116,VJVWMYFEZGXNPC-UHFFFAOYSA-N,pyrimethamine pamoate,US Approved Rx,0,['NCATS']
554,554,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,115,LJVAJPDWBABPEJ-RMNISARHSA-N,telithromycin,withdrawn,1,['WITHDRAWN']
555,555,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],115,NCFTXMQPRQZFMZ-WERGMSTESA-M,cefoperazone sodium,withdrawn,1,['ChEMBL']
